val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
,5,1349,14.261661529541016,4.7419799687348913e-20,1.0178828886165542e-19,3.456152105374685e-20,1.678153527126772e-20,1.2998954743345268e-20,1.4638121169261502e-20,6.826830213146708e-19,2.228774094243025e-22,4.2429322256467217e-07,7.531892046778751e-06,3.6603255601171006e-19,5.3000904661842736e-20,0.00012237907907666036,0.16502760389731666,
,5,1399,15.741504669189453,6.157901758294634e-20,5.1524561569451864e-20,6.346326596185746e-20,3.9207977090639494e-20,2.4718408652316295e-20,2.902307166642868e-20,4.155395238644252e-19,4.364176099279833e-22,8.733057185217673e-07,2.5915713866435787e-06,6.928078635735565e-19,1.409201496241302e-19,0.0009278515579555932,0.0686271673108042,
,5,1449,13.99310302734375,4.961604699667219e-19,8.872849305480988e-19,2.3468457434947717e-19,1.273722810702692e-19,8.511809599518569e-20,9.984059563062617e-20,6.110628939832889e-18,2.7321753686664517e-22,1.127279993089392e-07,1.7932342959927627e-06,2.5406842296312604e-18,4.630340941236784e-19,0.00036095525442444575,0.0591482143040092,
,5,1499,15.977959632873535,2.1369114456697187e-19,7.129864461797639e-19,1.2009631155447214e-19,7.620420027165219e-20,4.167420667066067e-20,4.921039607002668e-20,7.79719031357667e-18,7.191641189796764e-22,1.1587737665747774e-08,2.9298731264101054e-05,1.2708075903728652e-18,2.8154803127349375e-19,0.0002976417259252791,0.18893801981167874,
14.944965362548828,5,1499,,,,,,,,,,,,,,,,
,6,1549,15.492254257202148,2.0089241753404462e-18,1.9317982996292977e-18,4.487441613712628e-18,2.541566491430487e-18,1.5282471813966418e-18,1.824619301853928e-18,4.32201380145784e-18,2.0924908121528806e-22,5.718218108567861e-08,3.085751376703882e-06,4.847220034802466e-17,9.162318674099313e-18,0.00013941669171941494,0.13844933728553277,
,6,1599,13.98553466796875,1.1032404306808333e-19,2.4018951669333686e-19,4.001300059948807e-20,3.0641120447376e-20,1.665922692374989e-20,1.7838370147590992e-20,2.1183763830425398e-18,1.3151468582648937e-22,6.030591867932709e-08,1.079167766591217e-06,4.118220037279575e-19,1.2063898985149595e-19,1.8518532219095812e-05,0.039460272086451816,
,6,1649,14.635477066040039,1.795731365517817e-19,2.251115527590815e-19,2.6869982018637005e-19,1.5605039918069293e-19,1.0662400742668392e-19,1.3099419104080423e-19,1.2133297533039138e-18,8.101123664241803e-23,6.25453371451682e-08,2.723600225105631e-07,2.9494253363194705e-18,5.969532592476645e-19,2.1144636721447878e-05,0.01663051883620192,
,6,1699,14.598531723022461,3.6384960145180946e-21,1.2772970148520135e-20,2.587113095599367e-22,1.6360401271195387e-22,8.991061905240899e-23,1.0011793280544393e-22,1.267152825793683e-19,8.369179627524961e-24,1.4922268611390904e-09,4.297398449472637e-07,2.7662584317425607e-21,6.382431849715856e-22,1.0044628759810653e-06,0.3000072981977399,
,6,1749,14.275708198547363,3.0892517963552428e-19,2.3056564029025613e-19,7.655242580381975e-19,5.33815565302332e-19,2.7649814559517114e-19,2.7144458274691956e-19,1.132636019719734e-19,4.8806182246399443e-23,8.92898008096682e-09,1.077346942481904e-06,8.343816230004268e-18,2.1174165506758722e-18,2.5360495794522405e-05,0.10779211526537012,
14.934791564941406,6,1749,,,,,,,,,,,,,,,,
,7,1799,14.340169906616211,9.049037646793566e-19,7.679891366067086e-19,3.1489724127898957e-18,1.6197895048914543e-18,1.122336924003276e-18,1.3589704007569667e-18,6.565393223438053e-20,2.0412029341143326e-22,6.531770631253416e-07,2.844632547328817e-07,3.37499130933151e-17,5.7989503598445074e-18,0.00011884045074272135,0.0037854898184085345,
,7,1849,14.676996231079102,4.47038352603602e-18,3.694227624124355e-18,1.6748228176604725e-17,9.42056645302324e-18,5.478012379714246e-18,6.474169476355878e-18,2.3086419153049434e-19,3.1046433843833746e-22,1.820873142777652e-08,2.8045313306379484e-05,1.8149739771892987e-16,3.345847711378882e-17,0.00027075378596087043,0.34276528303502113,
,7,1899,14.774178504943848,2.49885196233709e-19,9.294548975373796e-19,2.4354627347875407e-20,1.3965237644530467e-20,1.3130609545950687e-20,1.681973570795783e-20,9.526261949505195e-18,1.017584230577401e-21,8.55658221004407e-05,5.4800257708478964e-05,2.738943451851582e-19,5.081780674639645e-20,0.09400875832831768,0.2559735668752055,
,7,1949,15.305935859680176,4.477977850305953e-19,1.3995867278123229e-18,2.7412607770882187e-21,2.5800497909790013e-21,4.375630514924211e-21,5.567608786592139e-21,1.405161506055418e-17,4.756660403627987e-22,4.064034792956042e-08,7.945791619822885e-07,2.7371847270650067e-20,9.810365498982354e-21,4.6475048294327337e-05,0.016982739268780238,
,7,1999,15.44172191619873,6.701252259916816e-19,5.254307766848038e-19,1.275460754457068e-18,8.841435183854485e-19,4.51811966748048e-19,4.685553552549654e-19,7.975824156175959e-19,1.4698127910112904e-22,5.496031237222773e-07,4.025756433762501e-07,1.385013992278859e-17,3.502013686356364e-18,0.0006671791664245102,0.011007482655029883,
14.93569564819336,7,1999,,,,,,,,,,,,,,,,
,8,2049,14.223795890808105,4.3181453892700884e-21,7.026625276902392e-21,7.479419917154646e-21,4.858089318125802e-21,2.541069018642448e-21,2.9191321218752904e-21,5.1180231253223745e-20,2.099198540165447e-23,7.308235158360203e-10,8.230775718789323e-07,8.16357885636232e-20,1.9283494749880785e-20,0.0001822521971015764,0.06101149618295854,
,8,2099,14.776814460754395,6.635924476000593e-21,1.6473475497254196e-20,4.407605697950264e-22,2.68881897218338e-22,1.864541554940057e-22,2.2347180120595183e-22,1.200450059252565e-19,2.9621699563840195e-23,5.091013652927092e-10,4.020647568074438e-08,4.739756804122841e-21,1.0434890576556002e-21,2.933855310431235e-05,0.006424378137666045,
,8,2149,13.412050247192383,4.658658792183925e-22,4.932118810573316e-22,1.5515238018410742e-21,1.0537370885413548e-21,6.185690187584259e-22,6.827674122643282e-22,2.231325632822382e-21,6.932171346520324e-24,1.217975554468977e-09,1.707034075023052e-07,1.6821648239945576e-20,4.1800781782070925e-21,2.7728203622651348e-06,0.06287980143554985,
,8,2199,14.32901382446289,6.966655167646265e-23,6.637994626184579e-23,1.8518513113037577e-22,1.0861373009595277e-22,6.69353991759292e-23,7.612227223034061e-23,6.712905073609876e-23,5.4450458525715395e-25,7.174464557993151e-11,8.762572283514287e-08,2.0306153069521544e-21,4.217117776750203e-22,1.8471264462106241e-06,0.5341203769184338,
,8,2249,15.101181030273438,8.732799361609683e-21,7.63519189527182e-21,3.677326678025052e-20,1.801756900029231e-20,1.3498695826202322e-20,1.6469931010955135e-20,1.3759893290726151e-21,1.1273390492098398e-24,1.2464401782957394e-10,2.134066309144441e-08,3.903258320138304e-19,6.309600775119942e-20,1.6942835172130915e-06,0.06328407471862062,
14.934659004211426,8,2249,,,,,,,,,,,,,,,,
,9,2299,14.500953674316406,3.2444220823657275e-20,1.997268007636372e-20,8.686631489760766e-20,5.671082243113538e-20,2.8335436582147984e-20,3.133567771799662e-20,2.7076308345101433e-21,8.502550399386759e-24,1.7908642823297666e-09,9.748169001104334e-09,9.468903821269213e-19,2.1197732852515333e-19,5.636260173639707e-07,0.0034784356719118016,
